gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000006423	322.2065	-0.02182549	0.1040312	0.7186424	0.9312017
ENSMUSG00000006435	910.7845	0.03707857	0.1047574	0.5404809	0.8690775
ENSMUSG00000006442	197.2568	-0.02115294	0.10157695	0.7307464	0.9355751
ENSMUSG00000006445	8.327032	0.01451406	0.13155833	0.6007467	0.8937362
ENSMUSG00000006456	205.9377	0.04496726	0.11184234	0.4295057	0.8132941
ENSMUSG00000006457	3.120229	-0.00557003	0.13725315	0.7674155	0.9454126
ENSMUSG00000006462	0.9936269	0.01073429	0.18536446	0.4181874	NA
ENSMUSG00000006463	97.82806	-0.1230753	0.11959038	0.03849382	0.4082547
ENSMUSG00000006464	345.2341	-0.1464147	0.11090436	0.02313414	0.332367
ENSMUSG00000006469	0.5268396	-0.00544241	0.22167064	0.6220521	NA
ENSMUSG00000006471	158.8793	0.01982995	0.10455189	0.742397	0.937983
ENSMUSG00000006476	1263.166	0.1200121	0.08484571	0.05794905	0.4590633
ENSMUSG00000006494	338.1401	0.003950201	0.09274319	0.9499475	0.9883768
ENSMUSG00000006498	165.8365	-0.08040458	0.10314529	0.1988905	0.6568596
ENSMUSG00000006517	53.31826	0.01199297	0.12423634	0.7694605	0.9465683
ENSMUSG00000006519	23.44609	0.003960513	0.12593901	0.9159913	0.9809879
ENSMUSG00000006522	216.3611	-0.07617958	0.13565321	0.06770266	0.4820892
ENSMUSG00000006526	131.67	0.03791796	0.10025819	0.5414676	0.8693055
ENSMUSG00000006527	266.0659	0.08214669	0.10634237	0.1829698	0.6407569
ENSMUSG00000006529	0.0392667	0	0.21433687	1	NA
ENSMUSG00000006538	3.768026	0.005823318	0.16214039	0.6528755	0.9099745
ENSMUSG00000006542	0.02933238	0.002130945	0.21590586	0.8417778	NA
ENSMUSG00000006567	22.00404	-0.05003533	0.12698997	0.2328198	0.6859751
ENSMUSG00000006574	0.961846	-9.460531e-05	0.15476363	0.9941377	NA
ENSMUSG00000006575	995.9628	-0.01074981	0.08690427	0.8639212	0.9696911
ENSMUSG00000006576	1196.943	-0.0651868	0.09156551	0.3044033	0.7451282
ENSMUSG00000006585	3.811527	0.005245401	0.13731287	0.7793748	0.9492114
ENSMUSG00000006586	430.2353	0.04155249	0.10831014	0.4811678	0.841192
ENSMUSG00000006587	3.680947	0.01993878	0.14680686	0.30503	0.7455324
ENSMUSG00000006589	68.8641	0.02336926	0.11735551	0.646614	0.90842
ENSMUSG00000006599	282.1329	0.00658687	0.10286758	0.9138713	0.9801913
ENSMUSG00000006611	22.7896	-0.07220594	0.13546968	0.07593241	0.4993289
ENSMUSG00000006638	17.79985	0.01405144	0.12786238	0.6834114	0.9205772
ENSMUSG00000006641	116.2549	-0.008895948	0.11330712	0.8705232	0.9699308
ENSMUSG00000006642	0.8910613	-0.001804191	0.16649706	0.8815148	NA
ENSMUSG00000006649	9.983525	0.01300619	0.13014391	0.6642281	0.9143552
ENSMUSG00000006651	4569.703	-0.02855923	0.08944128	0.6503328	0.9093757
ENSMUSG00000006673	911.5179	0.009909999	0.07774859	0.8703871	0.9699071
ENSMUSG00000006675	401.1281	-0.1096907	0.10926766	0.07832989	0.5027494
ENSMUSG00000006676	766.5729	-0.1355103	0.09031945	0.03599121	0.3965005
ENSMUSG00000006678	130.6671	0.02783147	0.10807249	0.6354573	0.904028
ENSMUSG00000006699	1509.724	0.09543069	0.1011306	0.1334381	0.5846374
ENSMUSG00000006705	134.1624	0.05979383	0.10677162	0.3227669	0.7576366
ENSMUSG00000006711	284.9531	0.04505232	0.09680453	0.4737888	0.837639
ENSMUSG00000006715	18.19524	0.05767597	0.13347414	0.1264229	0.579635
ENSMUSG00000006717	140.5045	-0.004906473	0.10609777	0.9342437	0.9835261
ENSMUSG00000006720	28.58338	-0.06258843	0.13470936	0.1027834	0.5507654
ENSMUSG00000006724	4.39754	0.007600476	0.14819834	0.6122632	0.8975783
ENSMUSG00000006728	249.0491	-0.02228254	0.09429023	0.7231715	0.9330928
ENSMUSG00000006731	346.0633	-0.04572969	0.09696703	0.4670873	0.8344947
ENSMUSG00000006732	54.1018	-0.04424102	0.12077384	0.3625353	0.7810574
ENSMUSG00000006736	246.5768	-0.1419035	0.10362313	0.02973328	0.3690553
ENSMUSG00000006740	2692.011	-0.1049809	0.0824305	0.09313319	0.5319968
ENSMUSG00000006763	84.62264	-0.005961964	0.11671375	0.9073015	0.9786372
ENSMUSG00000006764	2.483654	-6.818699e-05	0.13966399	0.9967272	0.999509
ENSMUSG00000006782	2986.12	-0.1497058	0.09712901	0.02267317	0.3281946
ENSMUSG00000006784	11.19227	0.01356364	0.12983179	0.6579083	0.9126445
ENSMUSG00000006800	335.34	0.0391057	0.10314136	0.523171	0.8585968
ENSMUSG00000006818	1078.879	0.03466249	0.08445426	0.5788587	0.8840041
ENSMUSG00000006850	40.17411	-0.05199429	0.12368875	0.2601143	0.7151212
ENSMUSG00000006906	95.74355	0.06610293	0.12902799	0.1280297	0.581408
ENSMUSG00000006920	467.2781	-0.08572647	0.08142918	0.1673965	0.6247611
ENSMUSG00000006930	2121.723	-0.2969997	0.21663515	0.0001775282	0.02986052
ENSMUSG00000006931	53.69021	-0.1398351	0.14972676	0.009236303	0.2281624
ENSMUSG00000006932	3383.379	0.000513273	0.08599593	0.9934582	0.9989382
ENSMUSG00000006941	220.2619	-0.1178713	0.10935587	0.06066838	0.4644555
ENSMUSG00000006958	43.44088	0.09435057	0.13455453	0.04446189	0.4288489
ENSMUSG00000006998	1256.4	-0.052122	0.09134451	0.4101871	0.8040682
ENSMUSG00000007021	620.4191	-0.08253643	0.10067835	0.1916097	0.6499902
ENSMUSG00000007029	225.6093	-0.05568525	0.11025421	0.3410652	0.7658769
ENSMUSG00000007030	5.527261	-0.02223692	0.15605293	0.2367638	0.6903841
ENSMUSG00000007033	3.018432	0.01607236	0.17456753	0.2939383	0.7382324
ENSMUSG00000007034	0.3749981	0.01256552	0.246212	0.3193442	NA
ENSMUSG00000007035	1.739546	0.005117394	0.15075654	0.7137201	NA
ENSMUSG00000007036	307.7308	-0.02313813	0.10300104	0.7044634	0.9283281
ENSMUSG00000007038	239.5648	-0.01302455	0.10847857	0.8229049	0.9605318
ENSMUSG00000007039	35.46027	-0.0273704	0.12024809	0.5666294	0.8780082
ENSMUSG00000007041	36.06046	-0.006700541	0.12314712	0.8748291	0.9722153
ENSMUSG00000007050	24.59365	0.01300162	0.1238415	0.7548305	0.9415278
ENSMUSG00000007080	16.56364	0.003313731	0.1268449	0.926198	0.9826938
ENSMUSG00000007097	4513.246	-0.1162008	0.09362799	0.07190978	0.4919511
ENSMUSG00000007107	0.2199919	0.007058522	0.23003267	0.5278736	NA
ENSMUSG00000007122	3.111304	-0.01693125	0.15083745	0.3362212	0.7637684
ENSMUSG00000007207	207.2926	0.06747241	0.13176237	0.1051135	0.5528793
ENSMUSG00000007209	0.3533388	0	0.20689152	1	NA
ENSMUSG00000007216	70.82287	-0.05468445	0.11567711	0.3163455	0.7539492
ENSMUSG00000007279	3.906293	-0.00282155	0.13761907	0.8763005	0.9722153
ENSMUSG00000007338	176.6755	0.0009019633	0.11453844	0.9865234	0.9977374
ENSMUSG00000007379	8.01044	0.03273139	0.13596521	0.2467774	0.7002901
ENSMUSG00000007411	511.5689	0.03266324	0.08718598	0.6031962	0.8948078
ENSMUSG00000007415	424.6747	-0.04067923	0.08997022	0.5192655	0.8576007
ENSMUSG00000007440	72.04471	0.1677538	0.24901175	0.0024775	0.1295155
ENSMUSG00000007457	0.02933238	0.002130945	0.21590586	0.8417778	NA
ENSMUSG00000007458	719.6898	-0.03527363	0.10660598	0.554529	0.8737878
ENSMUSG00000007476	274.2381	0.02945391	0.11198776	0.5999135	0.8937362
ENSMUSG00000007480	0.7299698	-0.01745212	0.20165029	0.245139	NA
ENSMUSG00000007564	2299.796	-0.04687999	0.09132542	0.4584174	0.8306619
ENSMUSG00000007570	78.66419	-0.1019737	0.11926058	0.07355968	0.4946234
ENSMUSG00000007589	52.20127	-0.01770683	0.12101372	0.701376	0.9269599
ENSMUSG00000007591	2.800779	-0.02343888	0.17829755	0.1845815	0.642034
ENSMUSG00000007594	93.75472	0.009258371	0.12238826	0.8326373	0.9635402
ENSMUSG00000007603	203.9815	-0.1280587	0.11131313	0.04207755	0.4209872
ENSMUSG00000007610	115.4116	-0.06106075	0.11342043	0.2821267	0.7298983
ENSMUSG00000007613	308.4875	0.1057373	0.10419547	0.09565162	0.5359674
ENSMUSG00000007617	1712.951	0.09229929	0.11306747	0.1203345	0.5715047
ENSMUSG00000007646	8.66659	-0.01294466	0.1318849	0.6300949	0.9020352
ENSMUSG00000007653	1261.493	0.05240819	0.09631213	0.4060819	0.8016697
ENSMUSG00000007655	72.01779	-0.05871497	0.11941434	0.2550489	0.7091968
ENSMUSG00000007656	2435.774	0.09478993	0.11612932	0.1020739	0.5493478
ENSMUSG00000007659	444.8661	-0.09024839	0.08981202	0.1568126	0.6138909
ENSMUSG00000007670	410.8217	0.06677526	0.10630849	0.2734258	0.7233722
ENSMUSG00000007682	274.215	0.09102986	0.12529718	0.07699186	0.5006487
ENSMUSG00000007721	125.7141	-0.00316738	0.1140255	0.9531276	0.9891823
ENSMUSG00000007739	646.9689	-0.0145535	0.091362	0.817266	0.9595402
ENSMUSG00000007777	65.46546	0.07741597	0.12825477	0.09682011	0.5387655
ENSMUSG00000007783	474.6229	-0.07059782	0.09395282	0.2667962	0.7183576
ENSMUSG00000007805	1.192178	0.01205521	0.20350746	0.3637663	NA
ENSMUSG00000007812	356.9659	0.06352682	0.09131949	0.3166355	0.7541447
ENSMUSG00000007815	666.2719	0.03850197	0.09240563	0.5419968	0.8694062
ENSMUSG00000007817	389.6417	0.03882034	0.13253021	0.2395051	0.6935745
ENSMUSG00000007827	169.1243	0.01763003	0.10543069	0.7685247	0.9461587
ENSMUSG00000007833	30.28599	-0.03737933	0.126715	0.3484781	0.7714564
ENSMUSG00000007836	576.9534	0.02453155	0.10841929	0.6745928	0.9179878
ENSMUSG00000007837	13.24456	0.05099381	0.13247753	0.1632543	0.6197906
ENSMUSG00000007850	1563.447	-0.05218085	0.08697947	0.4071449	0.8021792
ENSMUSG00000007867	20.13481	-0.03277488	0.12931269	0.352374	0.775474
ENSMUSG00000007872	118.3675	-0.01914037	0.10555387	0.74918	0.9391501
ENSMUSG00000007877	0.9296897	0.0003659254	0.16088852	0.9763819	NA
ENSMUSG00000007880	836.0154	0.06992548	0.12498256	0.1439718	0.5965236
ENSMUSG00000007888	1.91562	0.01084848	0.15715737	0.4615384	0.8313659
ENSMUSG00000007891	1637.456	-0.03860502	0.10355144	0.5274246	0.861317
ENSMUSG00000007892	1990.545	0.03559576	0.10133458	0.5643861	0.8776439
ENSMUSG00000007908	157.6129	0.1363608	0.10890877	0.03362929	0.3858617
ENSMUSG00000007944	144.9314	0.08525597	0.12809562	0.07833293	0.5027494
ENSMUSG00000007950	915.5245	-0.06514457	0.10131863	0.2973085	0.7408816
ENSMUSG00000007987	211.6914	-0.04393643	0.09712026	0.4843743	0.842661
ENSMUSG00000007989	847.853	0.1162434	0.09587385	0.07217294	0.4924726
ENSMUSG00000008028	8.366983	0.02774123	0.13864994	0.2666005	0.7183576
ENSMUSG00000008035	398.3832	-0.2569607	0.13747696	0.0003773928	0.04579067
ENSMUSG00000008036	383.916	0.03258044	0.10109804	0.5979264	0.8924533
ENSMUSG00000008090	67.81072	-0.07434237	0.11727371	0.1772241	0.6346758
ENSMUSG00000008129	15.64236	-0.009786865	0.12906885	0.7571803	0.9424802
ENSMUSG00000008136	47.63018	0.09537509	0.13229211	0.04807627	0.4384693
ENSMUSG00000008140	612.278	-0.1048791	0.09567001	0.103075	0.5508786
ENSMUSG00000008153	1919.519	-0.09420971	0.10042215	0.1388769	0.5897563
ENSMUSG00000008167	59.96557	0.04069652	0.12201176	0.3836504	0.7936793
ENSMUSG00000008193	1.600059	0.004491829	0.15559022	0.7340612	NA
ENSMUSG00000008200	414.7936	0.001691163	0.07833963	0.9778512	0.995443
ENSMUSG00000008206	376.6229	-0.07028309	0.10187966	0.2610476	0.7153725
ENSMUSG00000008226	195.3173	0.002956522	0.11186994	0.9576919	0.9905004
ENSMUSG00000008301	203.1516	0.007572207	0.10993718	0.8946646	0.9770942
ENSMUSG00000008305	582.0914	0.06531776	0.09346187	0.3035683	0.7442125
ENSMUSG00000008307	38.41197	0.04429178	0.1267575	0.2810705	0.7292161
ENSMUSG00000008318	58.84391	-0.04090037	0.11705913	0.4341429	0.8164876
ENSMUSG00000008333	124.735	0.005225776	0.11715859	0.9179024	0.9811911
ENSMUSG00000008348	1324.554	-0.1902528	0.10353725	0.004806633	0.1721741
ENSMUSG00000008373	183.953	-0.04088189	0.1070822	0.4928549	0.8459468
ENSMUSG00000008384	50.70937	0.03726632	0.11771253	0.4682354	0.8354117
ENSMUSG00000008393	814.9098	-0.04144542	0.10096165	0.5037154	0.8508023
ENSMUSG00000008398	33.98274	0.05555463	0.12937576	0.1711501	0.6288307
ENSMUSG00000008429	203.0347	0.04211651	0.10975907	0.4689913	0.8357347
ENSMUSG00000008435	125.8084	0.06114288	0.11029586	0.2980709	0.7412041
ENSMUSG00000008438	9.175123	0.005687299	0.13580375	0.777889	0.9490226
ENSMUSG00000008450	158.7384	0.01485074	0.11609222	0.7753098	0.9486596
ENSMUSG00000008461	0.4399838	0.01118625	0.25068846	0.3480223	NA
ENSMUSG00000008475	426.1733	0.04149609	0.09792668	0.5078223	0.8511416
ENSMUSG00000008482	0.229095	0.006768207	0.22885067	0.5434297	NA
ENSMUSG00000008489	313.1029	0.1470007	0.11406842	0.02121827	0.3184289
ENSMUSG00000008496	30.63132	0.04010966	0.13679925	0.1837285	0.6415979
ENSMUSG00000008540	51.94064	-0.008889455	0.12369444	0.8311868	0.9627087
ENSMUSG00000008575	512.0899	0.2174669	0.1483905	0.001297265	0.09276798
ENSMUSG00000008590	0.1428392	0.005596782	0.22419223	0.610584	NA
ENSMUSG00000008601	0.3459115	0.005795317	0.20530955	0.6166245	NA
ENSMUSG00000008604	497.0991	0.01329894	0.10146197	0.8286055	0.9619876
ENSMUSG00000008658	1571.586	0.03415425	0.10308615	0.5765512	0.8834855
ENSMUSG00000008668	826.8179	-0.07239052	0.10844581	0.2301549	0.6833795
ENSMUSG00000008682	1582.944	-0.03692696	0.10401824	0.5440982	0.8706318
ENSMUSG00000008683	877.6797	-0.02275551	0.10820321	0.6973818	0.925395
ENSMUSG00000008690	542.0373	-0.05217154	0.09181505	0.4098078	0.8037737
ENSMUSG00000008730	1330.183	0.05081546	0.09169566	0.4219514	0.8097153
ENSMUSG00000008734	841.3228	-0.2143589	0.1104846	0.001843033	0.1123605
ENSMUSG00000008763	1380.176	0.1327788	0.09504423	0.04131764	0.4183496
ENSMUSG00000008822	41.57075	0.06651456	0.12513931	0.1577644	0.6154835
ENSMUSG00000008845	5.563899	-0.00585194	0.13849365	0.7451162	0.9386759
ENSMUSG00000008855	695.4736	-0.1020685	0.09395111	0.1121311	0.5601719
ENSMUSG00000008859	329.9852	0.05948715	0.0958886	0.3469991	0.7700562
ENSMUSG00000008874	0.05978884	0.006263473	0.22689982	0.5714135	NA
ENSMUSG00000008892	744.383	0.0266695	0.09891738	0.6683458	0.9154264
ENSMUSG00000008932	0.422469	-0.005390006	0.21090313	0.6349022	NA
ENSMUSG00000008958	97.37644	-0.009113995	0.10937942	0.8742318	0.9718994
ENSMUSG00000008976	231.7222	-0.009320301	0.09781201	0.8811657	0.9731412
ENSMUSG00000008999	61.59708	0.01250386	0.1212478	0.7840277	0.9499682
ENSMUSG00000009013	857.6469	-0.004556424	0.09324588	0.9422566	0.9860027
ENSMUSG00000009030	137.4842	-0.004819225	0.11052065	0.9323373	0.9834813
ENSMUSG00000009035	221.8546	0.05710053	0.11531011	0.2997335	0.7414105
ENSMUSG00000009070	2.116598	-0.033828	0.24858556	0.08888936	0.524249
ENSMUSG00000009073	529.0773	-0.05589138	0.09571181	0.3765347	0.7897647
ENSMUSG00000009075	101.592	0.03849143	0.11701217	0.4606841	0.8312765
ENSMUSG00000009076	29.94671	-0.03687174	0.12518184	0.3796505	0.7912938
ENSMUSG00000009079	1199.123	-0.0485127	0.09831678	0.4392341	0.8201751
ENSMUSG00000009090	921.3805	0.007523682	0.07471757	0.8996979	0.9770942
ENSMUSG00000009092	5.177722	-0.1547891	0.65605576	0.007092848	0.2114174
ENSMUSG00000009097	3.992241	-0.002265529	0.13771728	0.8998197	0.9770942
ENSMUSG00000009108	0.7308935	0.01295886	0.20737516	0.3366095	NA
ENSMUSG00000009112	286.8661	0.0763343	0.08637955	0.2263478	0.6803876
ENSMUSG00000009114	0.2681016	0	0.21433687	1	NA
ENSMUSG00000009115	0.08912122	0.00432117	0.2203023	0.690318	NA
ENSMUSG00000009145	2.700824	0.002620691	0.14344057	0.862787	0.9693426
ENSMUSG00000009185	0.8103245	-0.009455139	0.19175781	0.4583488	NA
ENSMUSG00000009207	448.4916	0.1120092	0.10223736	0.08051777	0.504947
ENSMUSG00000009210	0.473282	0.0111081	0.23545323	0.3689489	NA
ENSMUSG00000009214	1.413908	0.06089318	0.43413707	0.03314731	NA
ENSMUSG00000009216	140.2856	0.1307707	0.35430764	0.005332694	0.1805414
ENSMUSG00000009246	0.382592	0.004264332	0.21051663	0.7019966	NA
ENSMUSG00000009248	1.016601	-0.01455929	0.20478295	0.2994011	NA
ENSMUSG00000009281	26.40344	-0.0239824	0.12631277	0.5324943	0.864528
ENSMUSG00000009291	453.0151	-0.004944292	0.08752046	0.9372265	0.9844903
ENSMUSG00000009292	268.0675	-0.02422915	0.096527	0.6990236	0.9265114
ENSMUSG00000009293	198.3424	-0.06059591	0.10872504	0.3091265	0.7486128
ENSMUSG00000009350	0.4792505	0.01118625	0.25068846	0.3480223	NA
ENSMUSG00000009356	3.867861	-0.01792018	0.15416936	0.3054361	0.7457098
ENSMUSG00000009376	11.8504	0.04084534	0.16993104	0.08838113	0.5231033
ENSMUSG00000009378	13.534	-0.03094582	0.1332731	0.3010957	0.7427722
ENSMUSG00000009394	2299.658	0.05927809	0.07709209	0.3282038	0.7605488
ENSMUSG00000009406	329.1076	-0.00965309	0.09421836	0.8779284	0.9722153
ENSMUSG00000009418	687.1407	0.04029792	0.13085367	0.2517764	0.7057132
ENSMUSG00000009470	901.7453	0.1112288	0.08517016	0.07871939	0.5031879
ENSMUSG00000009471	0.09942932	0.0006707547	0.21428573	0.9497132	NA
ENSMUSG00000009487	0.2176349	0	0.21433687	1	NA
ENSMUSG00000009535	533.8609	0.02134175	0.08878194	0.7344887	0.9362215
ENSMUSG00000009545	2.085888	0.003967241	0.14504368	0.7898251	0.9517878
ENSMUSG00000009549	307.7289	0.02678789	0.11200711	0.632701	0.9026538
ENSMUSG00000009551	3.309767	0.001689123	0.13920662	0.9206093	0.9813287
ENSMUSG00000009555	342.5018	-0.06255567	0.0985361	0.3206721	0.7571089
ENSMUSG00000009563	118.2228	-0.0226033	0.10425162	0.7086962	0.9288708
ENSMUSG00000009566	34.22735	-0.06062376	0.1325924	0.1219229	0.5731489
ENSMUSG00000009569	2739.302	0.09654922	0.10463133	0.1248707	0.5763909
ENSMUSG00000009575	2845.649	-0.01219016	0.06297093	0.8217906	0.9602115
ENSMUSG00000009585	15.33133	-0.004666616	0.12996575	0.8739585	0.971853
ENSMUSG00000009588	0.4399838	0.01118625	0.25068846	0.3480223	NA
ENSMUSG00000009596	0.8733504	0.0167381	0.27085807	0.2208998	NA
ENSMUSG00000009614	75.41538	0.04901716	0.12040241	0.3221844	0.7576366
ENSMUSG00000009621	75.83033	-0.05430548	0.11922125	0.289821	0.7346617
ENSMUSG00000009628	23.35222	0.03691495	0.13475383	0.2261413	0.6802116
ENSMUSG00000009630	490.2631	0.02380288	0.09528993	0.7047639	0.9283281
ENSMUSG00000009633	12.07132	-0.01903947	0.13169844	0.5045694	0.8508023
ENSMUSG00000009640	150.4434	-0.084347	0.11266192	0.1527572	0.6070898
ENSMUSG00000009647	224.461	-0.006753575	0.10763745	0.9083097	0.978761
ENSMUSG00000009654	2.422927	0.1893068	0.75321991	0.005409701	0.181548
ENSMUSG00000009670	0.6561987	-0.001056353	0.16678746	0.9301289	NA
ENSMUSG00000009681	2258.969	0.01463335	0.11224933	0.7922347	0.9525024
ENSMUSG00000009687	17.41138	-0.0159178	0.12910731	0.6225181	0.8995653
ENSMUSG00000009731	63.03868	0.07817508	0.13919107	0.05503926	0.4551738
ENSMUSG00000009733	114.0997	-0.09241825	0.10833337	0.1330957	0.5844408
ENSMUSG00000009734	12.07062	0.01951037	0.13166944	0.4964504	0.8482155
ENSMUSG00000009739	474.0588	0.07556164	0.10415246	0.2237336	0.677967
ENSMUSG00000009741	527.3284	-0.05090341	0.08447242	0.4157093	0.806513
ENSMUSG00000009772	4.221656	0.002320633	0.13587475	0.9059681	0.9786217
ENSMUSG00000009828	163.5366	0.04809472	0.11225026	0.3970762	0.7982962
ENSMUSG00000009863	550.9552	-0.00962012	0.0887394	0.8784157	0.9722317
ENSMUSG00000009876	7.777607	-0.01782789	0.13634743	0.4385593	0.8194118
ENSMUSG00000009894	1302.03	-0.01034935	0.0997146	0.8672558	0.9699071
ENSMUSG00000009900	0.2802087	-0.001151692	0.21406505	0.913997	NA
ENSMUSG00000009905	279.8386	0.02660441	0.09077968	0.6730097	0.9173881
ENSMUSG00000009907	457.3031	0.03218437	0.08797478	0.6089673	0.896175
ENSMUSG00000009927	923.9179	-0.04665398	0.10249197	0.449214	0.8269378
ENSMUSG00000009941	2.066319	0.009581249	0.19545687	0.4508707	0.8276359
ENSMUSG00000009995	353.4725	-0.02232054	0.09015781	0.7231183	0.9330928
ENSMUSG00000010021	23.71878	-0.02267551	0.12642483	0.5513845	0.8734712
ENSMUSG00000010025	356.9528	-0.06858486	0.09036393	0.279812	0.7285341
ENSMUSG00000010044	33.5032	-0.2339387	0.31332296	0.0008134112	0.07115803
ENSMUSG00000010045	192.0753	-0.1467445	0.11882953	0.01886974	0.3072383
ENSMUSG00000010047	51.68643	0.01010599	0.1225964	0.8163551	0.9595402
ENSMUSG00000010048	47.07291	-0.04755701	0.12365421	0.2964914	0.7405977
ENSMUSG00000010051	31.22442	-0.04199555	0.12036739	0.3897846	0.7959269
ENSMUSG00000010054	282.8019	-0.04307533	0.10974843	0.4592823	0.8309032
ENSMUSG00000010057	169.5836	-0.008933156	0.10741774	0.8792062	0.9726386
ENSMUSG00000010064	321.7084	-0.02068767	0.09987939	0.7384375	0.937107
ENSMUSG00000010066	555.6961	-0.09695158	0.11340412	0.104049	0.5518611
ENSMUSG00000010067	97.16848	-0.1081743	0.11675162	0.06700683	0.4819545
ENSMUSG00000010080	4.062949	-0.01369673	0.14269013	0.4552972	0.830072
ENSMUSG00000010086	1314.73	-0.0008679451	0.10846296	0.9880862	0.9979077
ENSMUSG00000010095	356.7531	-0.06862026	0.09948714	0.2759785	0.7253542
ENSMUSG00000010097	617.9572	-0.0407453	0.09019178	0.5186587	0.8573712
ENSMUSG00000010110	367.335	0.04808863	0.10170522	0.4374281	0.818421
ENSMUSG00000010122	5.883523	0.001978807	0.13890264	0.9081712	0.9787099
ENSMUSG00000010136	7.032775	-0.005993605	0.13435623	0.7842232	0.9499682
ENSMUSG00000010142	6.127173	-0.01294081	0.1330945	0.6052869	0.8949547
ENSMUSG00000010154	77.69502	-0.03228709	0.11762933	0.5278327	0.8616071
ENSMUSG00000010175	172.5241	0.01765401	0.12193617	0.6939009	0.9238211
ENSMUSG00000010205	127.3524	0.04440372	0.12306211	0.3328036	0.7622288
ENSMUSG00000010277	2405.821	0.05176659	0.0727562	0.3800203	0.7914248
ENSMUSG00000010290	290.2912	-0.166911	0.10831508	0.0116745	0.2524902
ENSMUSG00000010307	50.08783	-0.004895435	0.12200288	0.9120137	0.9796993
ENSMUSG00000010311	2.149412	-0.01868759	0.16585184	0.2626256	0.7171095
ENSMUSG00000010342	2.697113	-0.0109062	0.14513274	0.513369	0.8546256
ENSMUSG00000010358	14.62578	0.01731265	0.13449062	0.4802323	0.840588
ENSMUSG00000010362	25.61737	-0.009734333	0.1259588	0.796419	0.9533672
ENSMUSG00000010376	215.8641	0.01209785	0.11591112	0.8165606	0.9595402
ENSMUSG00000010392	385.4154	-0.01051855	0.08950207	0.8672563	0.9699071
ENSMUSG00000010406	84.81132	0.02335451	0.11492915	0.6621055	0.9133889
ENSMUSG00000010453	497.1053	-0.08083131	0.09520672	0.2048203	0.6612652
ENSMUSG00000010461	12.09658	0.01551121	0.12969186	0.6189794	0.8991199
ENSMUSG00000010476	4.359116	0.02578595	0.16330867	0.1826762	0.6403523
ENSMUSG00000010492	3.813057	0.0918209	0.54048768	0.01727916	0.2943816
ENSMUSG00000010505	194.0623	-0.05038443	0.10933775	0.3912301	0.7962623
ENSMUSG00000010517	375.8839	0.01438127	0.0851708	0.8180097	0.9595402
ENSMUSG00000010529	16.76269	-0.008320362	0.1272291	0.8132252	0.9584419
ENSMUSG00000010538	3.923951	0.005284893	0.13437304	0.8080844	0.9568781
ENSMUSG00000010554	302.7619	-0.06246527	0.09475071	0.3244448	0.7583141
ENSMUSG00000010592	52.52335	0.03866249	0.12457845	0.3693987	0.7842494
ENSMUSG00000010607	48.27446	0.001135182	0.12211991	0.9794577	0.995443
ENSMUSG00000010608	1064.288	0.1705691	0.09654281	0.01006769	0.2363036
ENSMUSG00000010609	58.62081	-0.03075268	0.11692712	0.5526792	0.8737878
ENSMUSG00000010651	1.70813	-0.01738877	0.17281213	0.2722966	NA
ENSMUSG00000010660	34.359	0.04323874	0.12807141	0.2700395	0.7201521
ENSMUSG00000010663	1026.621	-0.05427125	0.0868948	0.3886631	0.7956596
ENSMUSG00000010721	304.0625	0.01856703	0.08593132	0.7668468	0.9453783
ENSMUSG00000010751	6.434368	0.0315538	0.13909033	0.2263344	0.6803876
ENSMUSG00000010755	189.5028	-0.05272517	0.10394715	0.3900033	0.7960085
ENSMUSG00000010797	103.2226	0.02821267	0.12016367	0.5561092	0.8738723
ENSMUSG00000010803	1460.365	0.09906559	0.1235481	0.06652821	0.4819545
ENSMUSG00000010825	7.551345	0.03884147	0.18582469	0.08451552	0.5140043
ENSMUSG00000010830	1.58719	-0.004865747	0.15190111	0.7230831	NA
ENSMUSG00000010911	39.8439	-0.006789938	0.1213794	0.8807732	0.9731412
ENSMUSG00000010914	266.9646	0.01763969	0.09948904	0.7761048	0.9487672
ENSMUSG00000010936	168.3862	-0.05496905	0.10551762	0.3660469	0.7830156
ENSMUSG00000011008	0.1898297	0.0002605009	0.21405221	0.9804576	NA
ENSMUSG00000011034	0.1739008	-0.00264208	0.21552533	0.8057697	NA
ENSMUSG00000011096	136.8965	-0.1077183	0.11725716	0.06675318	0.4819545
ENSMUSG00000011114	185.8657	-0.02826691	0.11152239	0.6166307	0.8985368
ENSMUSG00000011148	81.37078	0.0122228	0.11453641	0.819327	0.9595551
ENSMUSG00000011154	4.656927	-0.008488777	0.13605608	0.6789334	0.9192492
ENSMUSG00000011158	189.6692	-0.06651133	0.11288367	0.2475295	0.7011102
ENSMUSG00000011171	4.331278	-0.006209813	0.13610769	0.7557078	0.941622
ENSMUSG00000011179	387.4529	-0.1113365	0.10652413	0.07815172	0.5026416
ENSMUSG00000011254	46.9839	-0.05837671	0.12416829	0.2107917	0.6664775
ENSMUSG00000011256	68.66	-0.01318073	0.12060343	0.7770741	0.9487672
ENSMUSG00000011257	218.4923	0.03669856	0.10374652	0.5472458	0.8716978
ENSMUSG00000011267	1.912191	0.006041916	0.15664369	0.6529998	0.9099745
ENSMUSG00000011305	2.177243	-6.262735e-05	0.14384864	0.9966411	0.999509
