task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
81	88/2a1653	12109345	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN_IGENOMES (Sham_Sal_3)	COMPLETED	0	2024-08-15 08:58:58.041	16m 20s	16m 1s	710.1%	33.5 GB	35.3 GB	62.8 GB	9.8 GB
84	87/4f6cf3	12109348	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN_IGENOMES (SNI_Sal_3)	COMPLETED	0	2024-08-15 08:59:02.767	16m 15s	15m 56s	854.9%	33.4 GB	35.3 GB	58.1 GB	5.6 GB
113	db/5f0062	12109377	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (Sham_oxy_4)	COMPLETED	0	2024-08-15 09:14:59.783	22.9s	15s	136.6%	20.2 MB	209.9 MB	2.5 GB	2.9 MB
83	eb/a2a3b1	12109347	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN_IGENOMES (Sham_Sal_2)	COMPLETED	0	2024-08-15 08:59:02.684	16m 20s	16m 1s	705.7%	33.5 GB	35.3 GB	59.4 GB	9.5 GB
98	bb/e7310b	12109362	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (SNI_oxy_2)	COMPLETED	0	2024-08-15 09:13:13.217	2m 14s	2m 6s	461.2%	4.8 GB	5.6 GB	3.8 GB	7.2 MB
111	50/8e3d1a	12109375	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (SNI_oxy_2)	COMPLETED	0	2024-08-15 09:14:59.147	28.5s	20s	134.1%	25.4 MB	209.9 MB	3.2 GB	3.1 MB
72	52/28f1fa	12109336	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN_IGENOMES (Sham_Sal_4)	COMPLETED	0	2024-08-15 08:58:43.674	16m 44s	16m 26s	783.7%	33.4 GB	35.2 GB	58.3 GB	8 GB
78	33/8f183a	12109343	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN_IGENOMES (SNI_Sal_2)	COMPLETED	0	2024-08-15 08:58:54.480	16m 38s	16m 26s	890.4%	33.4 GB	35.2 GB	57.3 GB	5.2 GB
106	d5/e72607	12109370	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (SNI_Sal_1)	COMPLETED	0	2024-08-15 09:13:54.041	1m 44s	1m 32s	454.1%	5.2 GB	6.4 GB	3.9 GB	7.2 MB
115	13/8a194c	12109379	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (Sham_oxy_3)	COMPLETED	0	2024-08-15 09:15:13.447	24.2s	16s	144.0%	25 MB	209.9 MB	2.6 GB	2.6 MB
105	5a/4e4cc7	12109369	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SNI_Sal_1)	COMPLETED	0	2024-08-15 09:13:53.787	2m 4s	1m 41s	457.7%	5.1 GB	6.1 GB	7 GB	5 GB
110	a7/293c38	12109374	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (SNI_Sal_4)	COMPLETED	0	2024-08-15 09:14:48.099	1m 30s	1m 19s	453.5%	4.4 GB	5.6 GB	3.6 GB	7.1 MB
127	27/fe64a8	12109392	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (SNI_Sal_1)	COMPLETED	0	2024-08-15 09:15:58.481	24.2s	17s	138.3%	23.4 MB	209.9 MB	2.5 GB	2.8 MB
69	11/e7e70c	12109333	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN_IGENOMES (Sham_Sal_1)	COMPLETED	0	2024-08-15 08:58:37.981	17m 55s	17m 43s	974.9%	33.4 GB	35.3 GB	57.3 GB	4.8 GB
120	34/1faa01	12109384	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (SNI_Sal_3)	COMPLETED	0	2024-08-15 09:15:20.727	1m 22s	1m 14s	444.0%	5.3 GB	6.4 GB	2.7 GB	7.2 MB
109	cb/523f6c	12109373	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SNI_Sal_4)	COMPLETED	0	2024-08-15 09:14:47.928	2m	1m 36s	503.1%	5.1 GB	6.1 GB	7.7 GB	5.8 GB
119	ec/357963	12109383	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SNI_Sal_3)	COMPLETED	0	2024-08-15 09:15:20.630	1m 27s	1m 15s	529.1%	5.2 GB	6.1 GB	6.7 GB	5.5 GB
125	6b/953278	12109389	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SNI_Sal_2)	COMPLETED	0	2024-08-15 09:15:32.917	1m 20s	1m 6s	501.6%	5.1 GB	6.1 GB	4.9 GB	3.5 GB
124	c0/33f21d	12109388	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (Sham_Sal_4)	COMPLETED	0	2024-08-15 09:15:28.291	1m 39s	1m 31s	461.6%	4.9 GB	6.4 GB	4.2 GB	7.2 MB
118	97/45b915	12109382	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (Sham_Sal_3)	COMPLETED	0	2024-08-15 09:15:20.456	1m 52s	1m 46s	472.4%	4.8 GB	6.4 GB	4.9 GB	7.2 MB
123	ef/b95b3e	12109387	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (Sham_Sal_4)	COMPLETED	0	2024-08-15 09:15:27.985	1m 45s	1m 32s	497.6%	5.1 GB	6.1 GB	7.5 GB	5.5 GB
133	e8/0b4511	12109396	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (SNI_Sal_3)	COMPLETED	0	2024-08-15 09:16:49.608	23s	16s	137.1%	22.1 MB	209.9 MB	2.6 GB	3 MB
135	14/97ebee	12109399	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (SNI_Sal_2)	COMPLETED	0	2024-08-15 09:16:52.961	19.7s	12s	138.3%	18.5 MB	209.9 MB	2 GB	2.3 MB
131	13/2611fb	12109395	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (SNI_Sal_4)	COMPLETED	0	2024-08-15 09:16:49.377	23.3s	18s	139.3%	18.4 MB	209.9 MB	2.7 GB	2.1 MB
121	e4/948f4e	12109385	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (Sham_Sal_2)	COMPLETED	0	2024-08-15 09:15:23.261	1m 54s	1m 39s	525.6%	5.1 GB	6.1 GB	9.5 GB	7.3 GB
126	48/dbe2f5	12109390	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (SNI_Sal_2)	COMPLETED	0	2024-08-15 09:15:33.178	1m 49s	1m 43s	452.9%	4.7 GB	5.6 GB	2.8 GB	7.1 MB
117	3a/e2aa2d	12109381	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (Sham_Sal_3)	COMPLETED	0	2024-08-15 09:15:19.398	2m 18s	1m 48s	521.8%	5.1 GB	6.1 GB	9.6 GB	7.1 GB
137	7a/e0aee7	12109401	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (Sham_Sal_4)	COMPLETED	0	2024-08-15 09:17:12.892	24.8s	17s	137.1%	24.6 MB	209.9 MB	2.8 GB	2.7 MB
129	79/4f7a89	12109393	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (Sham_Sal_1)	COMPLETED	0	2024-08-15 09:16:32.869	1m 10s	1m	502.9%	5.2 GB	6.1 GB	4.9 GB	3.7 GB
139	b3/3308ad	12109403	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (Sham_Sal_2)	COMPLETED	0	2024-08-15 09:17:17.734	24.9s	20s	135.3%	25.5 MB	209.9 MB	3.4 GB	2.9 MB
122	72/7dcf17	12109386	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (Sham_Sal_2)	COMPLETED	0	2024-08-15 09:15:23.580	2m 24s	2m 18s	474.0%	4.9 GB	6.4 GB	4.9 GB	7.2 MB
130	e4/d8a9ca	12109394	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (Sham_Sal_1)	COMPLETED	0	2024-08-15 09:16:32.989	1m 20s	1m 11s	439.0%	5.3 GB	6.4 GB	2.6 GB	7.2 MB
143	8e/4543c5	12109408	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (Sham_Sal_1)	COMPLETED	0	2024-08-15 09:17:43.035	14.6s	12s	145.4%	23.3 MB	209.9 MB	1.9 GB	2.8 MB
141	92/f5b17e	12109405	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (Sham_Sal_3)	COMPLETED	0	2024-08-15 09:17:37.846	24.8s	20s	136.7%	24 MB	209.9 MB	3.3 GB	3.1 MB
73	5f/afc4c9	12109337	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN_IGENOMES (Sham_oxy_1)	COMPLETED	0	2024-08-15 08:58:47.711	22m 10s	21m 58s	1045.7%	33.4 GB	35.2 GB	54 GB	2.1 GB
90	30/8acdc4	12109354	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (SNI_oxy_4)	COMPLETED	0	2024-08-15 09:12:03.120	9m 25s	9m 14s	104.8%	21.4 GB	33.6 GB	5.3 GB	2.8 GB
145	b3/c6eb45	12109409	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (Sham_oxy_1)	COMPLETED	0	2024-08-15 09:20:57.993	34.7s	29s	483.8%	5.2 GB	6.1 GB	2.3 GB	1.8 GB
153	81/8d2e79	12109417	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (Sham_oxy_1)	COMPLETED	0	2024-08-15 09:21:32.948	9.7s	6s	143.0%	20.9 MB	209.9 MB	973.1 MB	2.7 MB
157	de/dc7f4e	12109419	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SNI_oxy_4)	COMPLETED	0	2024-08-15 09:21:42.845	4.8s	0ms	10.7%	4.6 MB	12 MB	3.1 MB	5.4 KB
152	a9/932fab	12109413	NFCORE_RNASEQ:RNASEQ:SUBREAD_FEATURECOUNTS (SNI_oxy_4)	COMPLETED	0	2024-08-15 09:21:28.205	24.5s	20s	399.0%	491.4 MB	868.2 MB	4.2 GB	455.1 MB
159	b4/f9628e	12109425	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (Sham_oxy_2)	COMPLETED	0	2024-08-15 09:21:44.078	8.6s	0ms	11.3%	4.6 MB	12 MB	3.1 MB	5.4 KB
151	ff/9aab2c	12109412	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:SAMTOOLS_INDEX (SNI_oxy_4)	COMPLETED	0	2024-08-15 09:21:28.019	24.6s	17s	144.0%	26.2 MB	209.9 MB	2.8 GB	3 MB
166	0b/288426	12109428	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (Sham_oxy_4)	COMPLETED	0	2024-08-15 09:21:44.463	8.2s	1s	12.7%	4.6 MB	12 MB	3.1 MB	5.4 KB
167	fe/b01eec	12109429	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SNI_oxy_2)	COMPLETED	0	2024-08-15 09:21:44.642	8.1s	0ms	17.0%	4.6 MB	12 MB	3.3 MB	5.4 KB
184	88/37f517	12109430	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SNI_Sal_2)	COMPLETED	0	2024-08-15 09:21:44.949	7.8s	0ms	21.7%	3.1 MB	5.4 MB	2.5 MB	5.4 KB
162	4f/67048f	12109431	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SNI_oxy_3)	COMPLETED	0	2024-08-15 09:21:45.048	7.7s	0ms	12.3%	4.7 MB	12 MB	2.9 MB	5.4 KB
172	1b/0470d8	12109432	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SNI_Sal_3)	COMPLETED	0	2024-08-15 09:21:45.196	7.5s	0ms	20.7%	3.1 MB	5.4 MB	3.2 MB	5.4 KB
171	54/e0de02	12109435	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SNI_Sal_1)	COMPLETED	0	2024-08-15 09:21:45.878	6.8s	0ms	24.9%	4.7 MB	12 MB	2.9 MB	5.4 KB
169	70/4c48d5	12109436	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (Sham_oxy_3)	COMPLETED	0	2024-08-15 09:21:46.247	6.5s	1s	13.6%	4.6 MB	12 MB	2.8 MB	5.4 KB
188	42/5682b6	12109444	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (Sham_Sal_2)	COMPLETED	0	2024-08-15 09:21:48.371	4.4s	0ms	32.2%	3.2 MB	5.4 MB	3.1 MB	5.4 KB
201	64/f00d25	12109445	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (Sham_Sal_3)	COMPLETED	0	2024-08-15 09:21:48.442	4.3s	0ms	28.6%	3.2 MB	5.4 MB	3.2 MB	5.4 KB
187	58/add9e7	12109446	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (Sham_Sal_4)	COMPLETED	0	2024-08-15 09:21:48.527	4.2s	0ms	38.6%	3.1 MB	5.4 MB	2.9 MB	5.4 KB
164	51/620071	12109449	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SNI_oxy_1)	COMPLETED	0	2024-08-15 09:21:48.991	3.8s	0ms	11.7%	4.7 MB	12 MB	3.2 MB	5.4 KB
186	7e/9c62b5	12109451	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SNI_Sal_4)	COMPLETED	0	2024-08-15 09:21:49.876	7.8s	0ms	18.6%	3.1 MB	5.4 MB	2.3 MB	5.4 KB
155	d9/86b8e8	12109422	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SNI_oxy_4)	COMPLETED	0	2024-08-15 09:21:43.436	19.2s	16s	138.1%	7 MB	209.9 MB	2.6 GB	5.4 KB
183	ed/c64fc9	12109433	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SNI_Sal_2)	COMPLETED	0	2024-08-15 09:21:45.422	17.3s	13s	138.3%	7 MB	209.9 MB	2 GB	5.4 KB
196	3e/66f6f5	12109464	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (Sham_Sal_1)	COMPLETED	0	2024-08-15 09:21:53.088	9.6s	0ms	28.9%	3 MB	5.4 MB	3 MB	5.4 KB
202	e2/86416b	12109462	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (Sham_oxy_1)	COMPLETED	0	2024-08-15 09:21:52.803	9.9s	0ms	34.3%	3.2 MB	5.4 MB	2.8 MB	5.4 KB
203	fe/aed4f8	12109469	NFCORE_RNASEQ:RNASEQ:MULTIQC_CUSTOM_BIOTYPE (SNI_oxy_4)	COMPLETED	0	2024-08-15 09:21:54.331	8.4s	1s	37.8%	14.4 MB	26.1 MB	16.8 MB	3.5 KB
207	1d/953e56	12109472	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_INFEREXPERIMENT (SNI_oxy_4)	COMPLETED	0	2024-08-15 09:21:54.929	7.8s	4s	75.2%	59.9 MB	760.1 MB	57.9 MB	795 B
146	a0/801289	12109410	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (Sham_oxy_1)	COMPLETED	0	2024-08-15 09:20:58.123	1m 10s	1m 1s	368.5%	4.3 GB	5.6 GB	1.6 GB	7.1 MB
158	11/1a42ff	12109423	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (Sham_oxy_2)	COMPLETED	0	2024-08-15 09:21:43.652	24s	16s	129.8%	7 MB	209.9 MB	2.8 GB	5.4 KB
180	53/a91c11	12109439	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SNI_Sal_1)	COMPLETED	0	2024-08-15 09:21:47.186	20.5s	16s	133.4%	7 MB	209.9 MB	2.5 GB	5.4 KB
182	53/c4c746	12109437	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SNI_Sal_3)	COMPLETED	0	2024-08-15 09:21:46.376	21.3s	16s	141.5%	7.2 MB	209.9 MB	2.6 GB	5.4 KB
173	77/792c27	12109427	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SNI_oxy_3)	COMPLETED	0	2024-08-15 09:21:44.328	23.3s	15s	137.2%	6.9 MB	209.9 MB	2.3 GB	5.4 KB
192	df/6f3d10	12109442	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (Sham_Sal_1)	COMPLETED	0	2024-08-15 09:21:47.988	19.7s	11s	134.7%	7 MB	209.9 MB	1.9 GB	5.4 KB
195	4e/525cdb	12109463	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (Sham_oxy_1)	COMPLETED	0	2024-08-15 09:21:52.959	14.7s	6s	131.7%	7.1 MB	209.9 MB	973.1 MB	5.4 KB
194	ad/810f8d	12109434	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (Sham_Sal_3)	COMPLETED	0	2024-08-15 09:21:45.700	27s	21s	136.2%	7 MB	209.9 MB	3.3 GB	5.4 KB
177	37/5f8b84	12109441	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SNI_oxy_2)	COMPLETED	0	2024-08-15 09:21:47.513	25.2s	18s	136.7%	7.2 MB	209.9 MB	3.2 GB	5.4 KB
191	e7/d316da	12109447	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (Sham_Sal_2)	COMPLETED	0	2024-08-15 09:21:48.844	23.8s	20s	131.5%	6.9 MB	209.9 MB	3.4 GB	5.4 KB
179	ce/cadf05	12109453	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (Sham_oxy_3)	COMPLETED	0	2024-08-15 09:21:50.408	22.3s	17s	138.3%	6.9 MB	209.9 MB	2.6 GB	5.4 KB
174	b9/6d5b19	12109457	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SNI_oxy_1)	COMPLETED	0	2024-08-15 09:21:51.724	21s	18s	132.2%	7 MB	209.9 MB	2.8 GB	5.4 KB
176	bc/74b44c	12109461	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (Sham_oxy_4)	COMPLETED	0	2024-08-15 09:21:52.519	20.2s	15s	132.6%	7 MB	209.9 MB	2.5 GB	5.4 KB
190	19/97c3ff	12109458	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (Sham_Sal_4)	COMPLETED	0	2024-08-15 09:21:51.918	25.8s	18s	138.0%	7 MB	209.9 MB	2.8 GB	5.4 KB
189	06/b1779e	12109459	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SNI_Sal_4)	COMPLETED	0	2024-08-15 09:21:52.149	25.5s	18s	133.8%	6.9 MB	209.9 MB	2.7 GB	5.4 KB
104	f5/bdd157	12109368	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (SNI_oxy_3)	COMPLETED	0	2024-08-15 09:13:53.664	8m 29s	8m 23s	104.9%	20.7 GB	33.6 GB	4.7 GB	2.5 GB
200	56/d10e99	12109450	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (Sham_oxy_1)	COMPLETED	0	2024-08-15 09:21:49.752	37.9s	28s	127.0%	9.1 MB	211.4 MB	973.1 MB	257 KB
210	eb/8bb601	12109474	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_INNERDISTANCE (SNI_oxy_4)	COMPLETED	0	2024-08-15 09:21:55.164	37.5s	31s	96.4%	672.3 MB	1.4 GB	276.3 MB	41.3 MB
102	94/4d599f	12109366	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (Sham_oxy_2)	COMPLETED	0	2024-08-15 09:13:38.171	8m 59s	8m 44s	105.8%	21.2 GB	33.6 GB	5.6 GB	2.9 GB
212	1b/9bbe64	12109479	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:SAMTOOLS_INDEX (SNI_oxy_3)	COMPLETED	0	2024-08-15 09:22:23.212	24.5s	16s	140.4%	20.9 MB	209.9 MB	2.5 GB	2.8 MB
211	8a/f92d6c	12109475	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:TX2GENE (genome.filtered.gtf)	COMPLETED	0	2024-08-15 09:22:08.183	44.5s	36s	87.5%	45 MB	50.2 MB	1.7 GB	4.7 MB
217	15/688953	12109480	NFCORE_RNASEQ:RNASEQ:SUBREAD_FEATURECOUNTS (SNI_oxy_3)	COMPLETED	0	2024-08-15 09:22:23.374	29.3s	21s	382.8%	748.5 MB	1.2 GB	5.3 GB	1.6 GB
198	15/3a1920	12109454	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (Sham_Sal_1)	COMPLETED	0	2024-08-15 09:21:50.605	1m 7s	1m 2s	124.2%	9.1 MB	211.1 MB	1.9 GB	268.5 KB
232	5a/46ca98	12109495	NFCORE_RNASEQ:RNASEQ:MULTIQC_CUSTOM_BIOTYPE (SNI_oxy_3)	COMPLETED	0	2024-08-15 09:22:52.999	4.7s	0ms	61.8%	12.4 MB	20.8 MB	16.8 MB	3.5 KB
181	03/58b9ec	12109460	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (SNI_Sal_2)	COMPLETED	0	2024-08-15 09:21:52.387	1m 10s	1m 4s	124.9%	8.6 MB	211.4 MB	2 GB	255 KB
223	ce/828ba9	12109484	NFCORE_RNASEQ:RNASEQ:SUBREAD_FEATURECOUNTS (Sham_oxy_2)	COMPLETED	0	2024-08-15 09:22:38.492	24.2s	19s	395.9%	496.9 MB	868.2 MB	4.4 GB	422.1 MB
219	a4/ae969a	12109486	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:SAMTOOLS_INDEX (Sham_oxy_2)	COMPLETED	0	2024-08-15 09:22:38.813	23.9s	17s	133.4%	26 MB	209.9 MB	2.9 GB	3 MB
227	b1/03b9f6	12109493	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_INFEREXPERIMENT (SNI_oxy_3)	COMPLETED	0	2024-08-15 09:22:49.024	13.7s	4s	79.0%	60 MB	760.1 MB	77.9 MB	796 B
206	ce/359f0e	12109470	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_JUNCTIONANNOTATION (SNI_oxy_4)	COMPLETED	0	2024-08-15 09:21:54.620	1m 13s	1m 6s	92.8%	99.9 MB	800.4 MB	2.8 GB	43.6 MB
